date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:07:20	178320/178320	---M--	200	added ('OK')	application/pdf	etag:%224f8a8281-2b890%22	http://armguitar.do.am/161.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/161.pdf	(from http://armguitar.do.am/)
13:07:39	185112/185112	---M--	200	added ('OK')	application/pdf	etag:%22517d3f44-2d318%22	http://armguitar.do.am/187.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/187.pdf	(from http://armguitar.do.am/)
13:07:44	220016/220016	---M--	200	added ('OK')	application/pdf	etag:%224efce38c-35b70%22	http://armguitar.do.am/102-The_special_two.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/102-The_special_two.pdf	(from http://armguitar.do.am/)
13:07:46	139280/139280	---M--	200	added ('OK')	application/pdf	etag:%224efabe26-22010%22	http://armguitar.do.am/85-Ix_vosem-nas_dvoe.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/85-Ix_vosem-nas_dvoe.pdf	(from http://armguitar.do.am/)
13:08:02	137935/137935	---M--	200	added ('OK')	application/pdf	etag:%224efabf5b-21acf%22	http://armguitar.do.am/86-Kak_na_Volge_matyushke.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/86-Kak_na_Volge_matyushke.pdf	(from http://armguitar.do.am/)
13:08:07	139870/139870	---M--	200	added ('OK')	application/pdf	etag:%224efac0fa-2225e%22	http://armguitar.do.am/87-Kanatoxodec.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/87-Kanatoxodec.pdf	(from http://armguitar.do.am/)
13:08:08	134376/134376	---M--	200	added ('OK')	application/pdf	etag:%224ef8b3ab-20ce8%22	http://armguitar.do.am/82-za_menya_nevesta_otridaet_chstno.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/82-za_menya_nevesta_otridaet_chstno.pdf	(from http://armguitar.do.am/)
13:08:22	94907/94907	---M--	200	added ('OK')	application/pdf	etag:%224ed77b1a-172bb%22	http://armguitar.do.am/3-Ete_Imanair.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/3-Ete_Imanair.pdf	(from http://armguitar.do.am/)
13:08:24	95943/95943	---M--	200	added ('OK')	application/pdf	etag:%224ed7cf5f-176c7%22	http://armguitar.do.am/15-Ochi_Chernie-ver-2-.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/15-Ochi_Chernie-ver-2-.pdf	(from http://armguitar.do.am/)
13:08:25	146390/146390	---M--	200	added ('OK')	application/pdf	etag:%224ed7716f-23bd6%22	http://armguitar.do.am/1-Cancion_del_Mariachi-ver-1-.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/1-Cancion_del_Mariachi-ver-1-.pdf	(from http://armguitar.do.am/)
